"date","site","revenue","pageviews"
"2016-07-31","projectspurs",0.344523356288943,990
"2016-07-31","buffalofambase",0.0725037797489221,269
"2016-07-31","tennisguru",1.58569417580376,2310
"2016-07-31","therepublikofmancunia",7.74825464949901,12743
"2016-07-31","wearewearside",1.72626805092847,5460
"2016-07-31","huskermax",0.883085605143346,3349
"2016-07-31","totalbarca",0.595417730815788,624
"2016-08-01","totalbarca",0.418726753737404,549
"2016-08-01","buffalofambase",0.0392035008479242,182
"2016-08-01","tennisguru",0.212908374285801,388
"2016-08-01","therepublikofmancunia",1.85799570507981,3822
"2016-08-01","hoosierhuddle",0.106766981032645,504
"2016-08-01","wearewearside",0.825775868924362,3267
"2016-08-01","philliesnation",0.105724334733498,497
"2016-08-01","projectspurs",0.416849990398939,1498
"2016-08-01","huskermax",0.921699328445878,4371
"2016-08-02","hoosierhuddle",0.458401156650232,1157
"2016-08-02","philliesnation",0.270979900098178,680
"2016-08-02","huskermax",2.02102588315298,5119
"2016-08-02","totalbarca",0.818015692659486,573
"2016-08-02","wearewearside",1.15459303255088,2439
"2016-08-02","buffalofambase",0.106595839663981,264
"2016-08-02","projectspurs",0.772331761374923,1482
"2016-08-02","therepublikofmancunia",8.58896954244903,9435
"2016-08-02","tennisguru",0.254971001101024,248
"2016-08-03","philliesnation",2.62874718409165,2996
"2016-08-03","wearewearside",1.60803311555492,1543
"2016-08-03","projectspurs",1.58997498965831,1386
"2016-08-03","tidefans",12.927898320456,14886
"2016-08-03","huskermax",5.57394152675239,6411
"2016-08-03","hoosierhuddle",0.448873415144207,514
"2016-08-03","buffalofambase",0.119527595220392,134
"2016-08-03","therepublikofmancunia",7.76327431402663,3872
"2016-08-03","totalbarca",1.63039079523643,518
"2016-08-03","tennisguru",0.687928605584991,304
"2016-08-04","projectspurs",1.15398180824197,1343
"2016-08-04","hoosierhuddle",0.264024855680361,404
"2016-08-04","buffalofambase",0.094018607144714,141
"2016-08-04","totalbarca",1.09924494791799,467
"2016-08-04","tidefans",8.34447336562468,12830
"2016-08-04","philliesnation",1.09216135422901,1662
"2016-08-04","huskermax",3.59138200031555,5516
"2016-08-04","tennisguru",0.389597652894191,230
"2016-08-04","wearewearside",1.621498991715,2077
"2016-08-04","therepublikofmancunia",6.97991563590106,4649
"2016-08-05","therepublikofmancunia",2.16091131144575,2321
"2016-08-05","tennisguru",0.317029486564657,302
"2016-08-05","totalbarca",0.642443883983039,440
"2016-08-05","buffalofambase",0.0982232414293521,238
"2016-08-05","projectspurs",0.547814175776712,1028
"2016-08-05","tidefans",3.5715727422177,8857
"2016-08-05","philliesnation",0.511479562077236,1255
"2016-08-05","huskermax",2.18526748106847,5413
"2016-08-05","hoosierhuddle",0.139748514228753,345
"2016-08-05","wearewearside",3.12876959284717,6464
"2016-08-06","tennisguru",1.26543524673949,1689
"2016-08-06","hoosierhuddle",0.0725952728725691,251
"2016-08-06","buffalofambase",0.0518130967168925,176
"2016-08-06","totalbarca",0.437849135992201,421
"2016-08-06","wearewearside",3.8757335093614,11230
"2016-08-06","therepublikofmancunia",3.43532218726781,5176
"2016-08-06","huskermax",1.48122825394501,5146
"2016-08-06","tidefans",2.64958511617647,9215
"2016-08-06","projectspurs",0.296359525726841,780
"2016-08-06","philliesnation",0.139496798853172,480
"2016-08-07","tennisguru",2.54521849401959,3023
"2016-08-07","philliesnation",0.117727552262344,361
"2016-08-07","therepublikofmancunia",21.3173245788078,28583
"2016-08-07","wearewearside",1.0403532607531,2683
"2016-08-07","projectspurs",0.386453486774216,905
"2016-08-07","buffalofambase",0.0329509181603843,100
"2016-08-07","huskermax",1.59795957486524,4940
"2016-08-07","totalbarca",0.617109913896906,527
"2016-08-07","tidefans",5.20848445212832,16121
"2016-08-07","hoosierhuddle",0.113248786687146,349
"2016-08-08","totalbarca",0.299737561696094,460
"2016-08-08","hoosierhuddle",0.0991398478899632,548
"2016-08-08","buffalofambase",0.0363750521035117,197
"2016-08-08","tennisguru",1.04150333008143,2220
"2016-08-08","philliesnation",0.277448926828746,1525
"2016-08-08","therepublikofmancunia",3.21937042023972,7745
"2016-08-08","tidefans",2.64218393171488,14672
"2016-08-08","wearewearside",0.7940103285144,3673
"2016-08-08","huskermax",1.14759723205001,6365
"2016-08-08","projectspurs",0.354300139851361,1489
"2016-08-09","therepublikofmancunia",2.2312590081904,4457
"2016-08-09","tidefans",3.20665635325304,14785
"2016-08-09","hoosierhuddle",0.0897657618309518,412
"2016-08-09","huskermax",1.39394631589643,6420
"2016-08-09","totalbarca",0.373666089918316,476
"2016-08-09","tennisguru",0.555559870470508,983
"2016-08-09","wearewearside",0.646399385433409,2483
"2016-08-09","philliesnation",0.243527210326075,1111
"2016-08-09","projectspurs",0.322340690211145,1125
"2016-08-09","buffalofambase",0.0285618333098483,129
"2016-08-10","projectspurs",0.494547153555983,1248
"2016-08-10","tennisguru",0.370687596178899,474
"2016-08-10","hoosierhuddle",0.143760253646304,477
"2016-08-10","wearewearside",0.894640256162535,2485
"2016-08-10","tidefans",3.85390349392725,12847
"2016-08-10","therepublikofmancunia",1.72155873994623,2486
"2016-08-10","huskermax",2.21640291881967,7380
"2016-08-10","philliesnation",0.187422975311607,618
"2016-08-10","buffalofambase",0.0475240507921665,155
"2016-08-10","totalbarca",0.454151710382641,418
"2016-08-11","huskermax",1.7890595799199,7392
"2016-08-11","buffalofambase",0.0624758563498923,252
"2016-08-11","wearewearside",0.532600691105403,1835
"2016-08-11","projectspurs",0.436852252254994,1368
"2016-08-11","totalbarca",0.373897653710849,427
"2016-08-11","hoosierhuddle",0.111786302357853,460
"2016-08-11","therepublikofmancunia",4.53584291944103,8128
"2016-08-11","philliesnation",0.157027439714672,643
"2016-08-11","tennisguru",0.83205393361006,1321
"2016-08-11","tidefans",3.1963222599238,13221
"2016-08-12","buffalofambase",0.034038738245793,149
"2016-08-12","pittsburghsportsnow",1.31601719165877,5903
"2016-08-12","totalbarca",0.336629859404823,416
"2016-08-12","tennisguru",1.12084702366504,1927
"2016-08-12","tidefans",2.37718590800976,10649
"2016-08-12","philliesnation",0.143227937553726,635
"2016-08-12","wearewearside",0.401833935914621,1500
"2016-08-12","huskermax",1.27269516116413,5695
"2016-08-12","projectspurs",0.367795197668828,1247
"2016-08-12","hoosierhuddle",0.0709508764733736,316
"2016-08-12","therepublikofmancunia",4.52339466363736,8778
"2016-08-13","wearewearside",0.168702385535641,619
"2016-08-13","buffalofambase",0.0366158306821696,158
"2016-08-13","tidefans",2.28410899617363,10068
"2016-08-13","hoosierhuddle",0.106702574073807,468
"2016-08-13","tennisguru",0.698845700933925,1182
"2016-08-13","projectspurs",0.353129360934789,1178
"2016-08-13","therepublikofmancunia",2.49639095933099,4767
"2016-08-13","huskermax",1.13329365516286,4990
"2016-08-13","totalbarca",0.367730765808047,448
"2016-08-13","pittsburghsportsnow",1.10656185239489,4884
"2016-08-13","philliesnation",0.122202526939266,533
"2016-08-14","projectspurs",0.331063681873574,934
"2016-08-14","philliesnation",0.135507606545363,500
"2016-08-14","tennisguru",0.851040909342742,1217
"2016-08-14","buffalofambase",0.0635025842438074,231
"2016-08-14","huskermax",2.21833922950439,8257
"2016-08-14","totalbarca",0.434952846891685,607
"2016-08-14","therepublikofmancunia",2.95273731674239,7155
"2016-08-14","wearewearside",0.611378436589962,1898
"2016-08-14","tidefans",4.62080938319688,13925
"2016-08-14","hoosierhuddle",0.101763555503675,377
"2016-08-14","pittsburghsportsnow",1.62795118686949,6074
"2016-08-15","totalbarca",0.518269898885875,635
"2016-08-15","tidefans",3.83879407755216,12903
"2016-08-15","huskermax",2.92043569881432,12366
"2016-08-15","wearewearside",0.899206449171076,3176
"2016-08-15","buffalofambase",0.054653067300268,226
"2016-08-15","pittsburghsportsnow",1.44737204299043,6144
"2016-08-15","hoosierhuddle",0.224684832234435,948
"2016-08-15","tennisguru",0.156718838284102,255
"2016-08-15","projectspurs",0.310868515284858,998
"2016-08-15","therepublikofmancunia",3.89601630613577,2719
"2016-08-16","lakersnation",23.5325718330749,10705
"2016-08-16","buffalofambase",0.0468279093599657,250
"2016-08-16","pittsburghsportsnow",0.488296071380573,9116
"2016-08-16","tidefans",0.494135525624744,11197
"2016-08-16","projectspurs",0.231767924916733,870
"2016-08-16","wearewearside",0.0951387036773729,1660
"2016-08-16","philliesnation",1.27566936045266,3527
"2016-08-16","totalbarca",0.230018840870844,850
"2016-08-16","huskermax",0.403839049587075,8791
"2016-08-16","hoosierhuddle",0.0768784827214117,996
"2016-08-16","rabidhabs",0.0126164784957441,20
"2016-08-16","therepublikofmancunia",0.32086566156191,2264
"2016-08-16","tennisguru",0.0971003062153055,328
"2016-10-20","royalsblue",0.0123032657049858,11
"2016-10-20","cornellsun",0.129731189891513,46
"2016-10-20","totalbarca",1.58815368678871,144
"2016-10-20","rousingthekop",2.77215802804579,256
"2016-10-20","bluemoon-mcfc",29.8284387930627,3495
"2016-10-20","therepublikofmancunia",5.44401252583069,487
"2016-10-20","opendota",8.51464139617599,1455
